Date,HomeTeam,FTHG,HTHG,HS,HST,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AY,AR,FTR,HTR,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2005-10-29,Marseille,1,1,15.0,5.0,3,0,Lille,1,0,12.0,4.0,2,0,D,H,17.0,19.0,10.0,6.0,1
2005-10-29,Monaco,3,1,9.0,7.0,3,0,Ajaccio,0,0,6.0,4.0,2,0,H,H,17.0,11.0,10.0,17.0,2
2005-10-29,Nantes,1,1,10.0,3.0,1,0,Le Mans,0,0,7.0,2.0,1,0,H,H,12.0,19.0,15.0,8.0,2
2005-10-29,Rennes,2,1,12.0,9.0,1,0,Metz,1,0,11.0,3.0,3,1,H,H,17.0,4.0,11.0,20.0,2
2005-10-30,Nancy,0,0,8.0,3.0,4,1,Nice,0,0,10.0,5.0,2,0,D,D,16.0,16.0,12.0,13.0,1
2005-10-30,Auxerre,2,0,12.0,3.0,1,0,Paris SG,0,0,12.0,4.0,4,0,H,D,19.0,23.0,10.0,4.0,2
2005-11-05,Le Mans,3,1,13.0,5.0,2,0,Marseille,0,0,10.0,5.0,2,0,H,H,19.0,18.0,10.0,11.0,2
2005-11-05,Metz,2,0,12.0,4.0,1,1,Ajaccio,0,0,11.0,1.0,2,0,H,D,4.0,11.0,20.0,17.0,2
2005-11-05,Nantes,3,1,12.0,7.0,0,0,Nancy,0,0,9.0,4.0,1,0,H,H,15.0,17.0,14.0,12.0,2
2005-11-05,Nice,0,0,7.0,4.0,3,0,Bordeaux,1,0,7.0,4.0,2,0,A,D,17.0,24.0,14.0,2.0,0
2005-11-05,St Etienne,1,1,13.0,5.0,1,0,Auxerre,1,0,8.0,4.0,0,0,D,H,23.0,22.0,3.0,6.0,1
2005-11-05,Toulouse,0,0,13.0,5.0,2,0,Lyon,1,1,9.0,4.0,1,0,A,A,15.0,33.0,15.0,1.0,0
2005-11-06,Paris SG,0,0,10.0,2.0,1,0,Monaco,0,0,13.0,3.0,1,0,D,D,23.0,20.0,4.0,8.0,1
2005-11-06,Sochaux,1,1,6.0,3.0,2,0,Lens,1,0,11.0,4.0,2,0,D,H,12.0,19.0,16.0,10.0,1
2005-11-06,Lille,2,1,12.0,4.0,1,0,Strasbourg,0,0,7.0,0.0,2,0,H,H,20.0,6.0,9.0,20.0,2
2005-11-06,Troyes,2,1,17.0,7.0,1,0,Rennes,1,1,12.0,5.0,0,0,H,D,11.0,20.0,17.0,10.0,2
2005-11-11,Ajaccio,0,0,10.0,4.0,1,0,Lens,0,0,5.0,3.0,1,0,D,D,11.0,20.0,18.0,9.0,1
2005-11-19,Ajaccio,0,0,13.0,3.0,1,0,Sochaux,1,0,7.0,4.0,4,0,A,D,12.0,13.0,18.0,17.0,0
2005-11-19,Auxerre,3,1,9.0,5.0,2,0,Lille,2,2,10.0,5.0,2,0,H,A,23.0,23.0,6.0,5.0,2
2005-11-19,Lens,0,0,14.0,9.0,0,0,Metz,0,0,6.0,1.0,2,0,D,D,21.0,7.0,8.0,19.0,1
2005-11-19,Lyon,2,1,11.0,5.0,1,0,Troyes,1,1,5.0,2.0,1,0,H,D,36.0,14.0,1.0,17.0,2
2005-11-19,Marseille,2,1,17.0,10.0,2,0,Nantes,1,0,6.0,3.0,3,0,H,H,18.0,18.0,12.0,11.0,2
2005-11-19,Monaco,1,0,11.0,4.0,3,0,St Etienne,0,0,2.0,0.0,2,0,H,D,21.0,24.0,9.0,4.0,2
2005-11-19,Nancy,1,0,12.0,7.0,2,0,Le Mans,0,0,4.0,1.0,2,1,H,D,17.0,22.0,13.0,9.0,2
