Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,HST,AS,AST,AvgH,AvgD,AvgA,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2016-06-19,Sporting Kansas City,FC Dallas,2,0,H,NA,NA,NA,NA,2.18,3.34,3.26,15.0,33.0,19.0,1.0,2
2016-06-19,Vancouver Whitecaps,New England Revolution,1,2,A,NA,NA,NA,NA,2.16,3.42,3.2,15.0,20.0,19.0,9.0,0
2016-06-19,Columbus Crew,CF Montreal,0,0,D,NA,NA,NA,NA,1.81,3.69,4.17,16.0,21.0,18.0,9.0,1
2016-06-19,Orlando City,San Jose Earthquakes,2,2,D,NA,NA,NA,NA,2.12,3.33,3.42,17.0,21.0,14.0,9.0,1
2016-06-19,Toronto FC,Los Angeles Galaxy,1,0,H,NA,NA,NA,NA,1.86,3.48,4.1,25.0,19.0,5.0,11.0,2
2016-06-19,Colorado Rapids,Chicago Fire,2,1,H,NA,NA,NA,NA,1.78,3.49,4.57,29.0,16.0,2.0,18.0,2
2016-06-20,New York Red Bulls,Seattle Sounders,2,0,H,NA,NA,NA,NA,1.56,4.17,5.44,25.0,16.0,5.0,17.0,2
2016-06-23,Los Angeles Galaxy,Colorado Rapids,0,0,D,NA,NA,NA,NA,1.91,3.49,3.94,19.0,32.0,11.0,2.0,1
2016-06-23,Philadelphia Union,Chicago Fire,4,3,H,NA,NA,NA,NA,1.85,3.55,4.16,19.0,16.0,12.0,17.0,2
2016-06-23,Real Salt Lake,New York Red Bulls,2,1,H,NA,NA,NA,NA,2.26,3.47,2.99,22.0,28.0,7.0,3.0,2
2016-06-25,Seattle Sounders,New York City,0,2,A,NA,NA,NA,NA,1.65,3.9,5.0,16.0,27.0,17.0,5.0,0
2016-06-26,Columbus Crew,New York Red Bulls,1,1,D,NA,NA,NA,NA,2.28,3.49,2.94,17.0,28.0,16.0,4.0,1
2016-06-26,DC United,New England Revolution,2,0,H,NA,NA,NA,NA,2.83,3.24,2.49,17.0,23.0,16.0,7.0,2
2016-06-26,Philadelphia Union,Vancouver Whitecaps,2,3,A,NA,NA,NA,NA,1.89,3.69,3.78,22.0,15.0,10.0,19.0,0
2016-06-26,CF Montreal,Sporting Kansas City,2,2,D,NA,NA,NA,NA,1.98,3.35,3.83,22.0,18.0,9.0,16.0,1
2016-06-26,Portland Timbers,Houston Dynamo,3,2,H,NA,NA,NA,NA,1.88,3.65,3.84,20.0,14.0,13.0,20.0,2
2016-06-26,San Jose Earthquakes,Los Angeles Galaxy,1,1,D,NA,NA,NA,NA,2.26,3.26,3.18,22.0,20.0,10.0,12.0,1
2016-06-26,FC Dallas,Real Salt Lake,2,0,H,NA,NA,NA,NA,1.31,5.2,9.33,33.0,25.0,1.0,6.0,2
2016-06-26,Orlando City,Toronto FC,3,2,H,NA,NA,NA,NA,2.28,3.39,3.03,18.0,28.0,15.0,5.0,2
2016-07-03,Seattle Sounders,Sporting Kansas City,0,1,A,NA,NA,NA,NA,1.85,3.45,4.25,16.0,19.0,19.0,15.0,0
2016-07-03,Los Angeles Galaxy,DC United,4,1,H,NA,NA,NA,NA,1.34,5.02,8.45,21.0,20.0,13.0,15.0,2
2016-07-05,Orlando City,New York Red Bulls,1,1,D,NA,NA,NA,NA,2.42,3.46,2.75,21.0,29.0,14.0,4.0,1
2016-07-05,Vancouver Whitecaps,Portland Timbers,2,1,H,NA,NA,NA,NA,2.08,3.43,3.39,18.0,23.0,17.0,10.0,2
2016-07-07,New England Revolution,New York City,0,1,A,NA,NA,NA,NA,1.98,3.75,3.44,23.0,30.0,11.0,4.0,0
2016-07-08,Portland Timbers,Sporting Kansas City,3,0,H,NA,NA,NA,NA,2.14,3.43,3.28,23.0,22.0,10.0,13.0,2
2016-07-08,Real Salt Lake,Chicago Fire,3,1,H,NA,NA,NA,NA,1.67,3.75,5.14,25.0,16.0,7.0,18.0,2
2016-07-08,Colorado Rapids,Vancouver Whitecaps,2,0,H,NA,NA,NA,NA,1.74,3.53,4.85,33.0,21.0,2.0,15.0,2
2016-07-08,Toronto FC,New England Revolution,4,1,H,NA,NA,NA,NA,1.74,3.72,4.53,28.0,23.0,5.0,11.0,2
2016-07-08,CF Montreal,Houston Dynamo,1,0,H,NA,NA,NA,NA,1.79,3.56,4.5,23.0,14.0,10.0,20.0,2
2016-07-08,DC United,Philadelphia Union,2,2,D,NA,NA,NA,NA,2.29,3.3,3.07,20.0,22.0,16.0,13.0,1
2016-07-11,FC Dallas,Seattle Sounders,2,1,H,NA,NA,NA,NA,1.61,3.94,5.27,36.0,16.0,1.0,19.0,2
2016-07-14,Columbus Crew,Toronto FC,1,1,D,NA,NA,NA,NA,1.66,3.91,4.95,18.0,31.0,17.0,4.0,1
2016-07-14,New York Red Bulls,Orlando City,2,0,H,NA,NA,NA,NA,1.39,4.93,7.02,30.0,22.0,5.0,13.0,2
2016-07-14,Chicago Fire,Sporting Kansas City,1,0,H,NA,NA,NA,NA,2.38,3.22,3.0,16.0,22.0,18.0,14.0,2
2016-07-14,Portland Timbers,CF Montreal,1,1,D,NA,NA,NA,NA,1.85,3.5,4.23,26.0,26.0,7.0,8.0,1
2016-07-14,Seattle Sounders,FC Dallas,5,0,H,NA,NA,NA,NA,1.94,3.52,3.84,16.0,39.0,19.0,1.0,2
2016-07-14,Vancouver Whitecaps,Real Salt Lake,2,0,H,NA,NA,NA,NA,1.58,4.14,5.52,21.0,28.0,16.0,6.0,2
2016-07-16,Los Angeles Galaxy,Houston Dynamo,1,0,H,NA,NA,NA,NA,1.57,3.97,5.6,24.0,14.0,9.0,20.0,2
2016-07-17,Portland Timbers,Seattle Sounders,3,1,H,NA,NA,NA,NA,2.01,3.36,3.74,27.0,19.0,8.0,17.0,2
