Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B365CA,SeasonInt
Argentina,Liga Profesional,2026,01/03/2026,22:15,Instituto,Union de Santa Fe,1,2,A,,,,2.66,3.0,3.25,2.53,2.83,3.03,2.68,3.0,3.25,2.55,2.75,3.1,2026.0
Argentina,Liga Profesional,2026,02/03/2026,00:30,Defensa y Justicia,Lanus,1,1,D,,,,2.25,3.25,3.75,2.15,2.99,3.58,2.28,3.05,4.0,2.1,3.25,3.7,2026.0
Argentina,Liga Profesional,2026,02/03/2026,00:30,Tigre,Gimnasia L.P.,2,2,D,,,,2.1,3.1,4.75,1.99,2.98,4.19,2.1,3.15,4.6,1.91,3.0,4.75,2026.0
Argentina,Liga Profesional,2026,02/03/2026,22:15,Dep. Riestra,Platense,0,0,D,,,,2.75,2.65,3.6,2.6,2.51,3.39,2.74,2.66,3.7,2.5,2.55,3.5,2026.0
Argentina,Liga Profesional,2026,02/03/2026,22:15,Estudiantes L.P.,Velez Sarsfield,0,1,A,,,,2.3,2.9,4.33,2.19,2.79,3.85,2.26,2.92,4.5,2.15,2.65,4.33,2026.0
Argentina,Liga Profesional,2026,03/03/2026,00:30,Banfield,Aldosivi,2,0,H,,,,2.16,3.15,4.4,2.05,3.0,3.93,2.18,3.05,4.4,2.05,3.1,3.9,2026.0
Argentina,Liga Profesional,2026,03/03/2026,00:30,Ind. Rivadavia,River Plate,1,1,D,,,,3.15,3.1,2.57,2.99,3.04,2.42,3.1,3.25,2.66,3.0,3.0,2.57,2026.0
Argentina,Liga Profesional,2026,03/03/2026,22:00,Sarmiento Junin,Estudiantes Rio Cuarto,1,0,H,,,,1.93,3.2,5.0,1.87,3.03,4.65,2.0,3.15,5.2,1.86,3.1,4.75,2026.0
Argentina,Liga Profesional,2026,03/03/2026,22:15,Huracan,Belgrano,3,1,H,,,,3.0,2.8,3.0,2.9,2.64,2.81,3.1,2.82,3.0,3.0,2.57,2.85,2026.0
Argentina,Liga Profesional,2026,04/03/2026,00:15,Atl. Tucuman,Racing Club,0,3,A,,,,3.45,3.0,2.66,3.06,2.86,2.5,3.2,3.05,2.76,3.2,2.85,2.45,2026.0
Argentina,Liga Profesional,2026,05/03/2026,00:00,Lanus,Boca Juniors,0,3,A,,,,3.0,3.0,2.8,2.91,2.85,2.63,3.25,2.84,2.88,3.0,3.0,2.57,2026.0
Argentina,Liga Profesional,2026,10/03/2026,22:45,Independiente,Union de Santa Fe,4,4,D,,,,2.05,3.4,4.0,2.01,3.17,3.79,2.12,3.35,4.2,1.96,3.4,3.8,2026.0
Argentina,Liga Profesional,2026,10/03/2026,22:45,Tigre,Velez Sarsfield,1,1,D,,,,2.3,2.95,3.8,2.26,2.78,3.57,2.4,2.88,4.0,2.15,2.57,3.5,2026.0
Argentina,Liga Profesional,2026,11/03/2026,01:00,Newells Old Boys,Platense,1,1,D,,,,3.4,2.88,2.63,3.18,2.8,2.46,3.3,3.1,2.6,3.3,2.82,2.45,2026.0
Argentina,Liga Profesional,2026,11/03/2026,01:00,Sarmiento Junin,Racing Club,0,0,D,,,,3.85,3.1,2.28,3.49,2.98,2.19,3.8,3.15,2.34,3.5,3.0,2.25,2026.0
Argentina,Liga Profesional,2026,11/03/2026,20:30,Argentinos Jrs,Rosario Central,0,0,D,,,,2.08,3.25,4.75,1.98,2.96,4.24,2.04,3.2,4.9,1.91,3.0,4.75,2026.0
Argentina,Liga Profesional,2026,11/03/2026,20:30,Banfield,Gimnasia L.P.,1,2,A,,,,2.3,3.2,3.6,2.26,2.96,3.36,2.38,3.05,3.75,2.25,3.0,3.5,2026.0
Argentina,Liga Profesional,2026,11/03/2026,22:45,Boca Juniors,San Lorenzo,1,1,D,,,,1.76,3.4,6.2,1.71,3.16,5.78,1.78,3.35,6.8,1.68,3.25,6.0,2026.0
Argentina,Liga Profesional,2026,12/03/2026,01:00,Atl. Tucuman,Aldosivi,1,1,D,,,,2.2,3.25,4.35,2.07,2.98,3.89,2.24,3.05,4.3,2.1,2.85,4.0,2026.0
Argentina,Liga Profesional,2026,12/03/2026,01:00,Ind. Rivadavia,Barracas Central,1,2,A,,,,1.5,4.0,9.0,1.45,3.88,7.78,1.49,4.3,9.8,1.42,4.0,9.0,2026.0
