Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,Referee,FTR,HTR,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2010-10-30,Portsmouth,2,1,10,6,10,9,0,0,Nott'm Forest,1,1,6,3,6,10,1,0,M Haywood,H,D,18.0,19.0,14.0,11.0,2
2010-10-30,Middlesbrough,1,1,19,8,6,4,0,0,Bristol City,2,1,6,5,3,9,0,0,C Boyeson,A,D,11.0,10.0,22.0,24.0,0
2010-10-30,QPR,1,1,11,3,5,15,3,0,Burnley,1,1,12,7,4,13,3,0,I Williamson,D,D,29.0,20.0,1.0,9.0,1
2010-10-30,Ipswich,2,1,15,4,8,10,0,0,Millwall,0,0,12,5,9,10,1,0,K Friend,H,H,18.0,19.0,15.0,11.0,2
2010-10-30,Derby,4,2,14,11,7,10,4,0,Watford,1,0,8,4,3,6,1,0,P Tierney,H,H,18.0,21.0,15.0,7.0,2
2010-10-30,Crystal Palace,0,0,9,5,1,13,1,0,Swansea,3,1,6,5,4,7,1,0,F Graham,A,A,11.0,23.0,23.0,4.0,0
2010-10-30,Cardiff,3,3,16,10,10,5,1,0,Norwich,1,1,11,6,4,14,4,0,G Scott,H,H,29.0,23.0,2.0,5.0,2
2010-10-30,Leicester,1,1,10,5,10,12,1,0,Preston,0,0,4,1,5,9,1,0,G Ward,H,H,12.0,13.0,22.0,20.0,2
2010-11-06,Middlesbrough,2,0,8,3,6,9,0,0,Crystal Palace,1,1,5,2,5,11,1,0,M Haywood,H,A,11.0,11.0,23.0,24.0,2
2010-11-06,Watford,1,1,10,4,8,12,0,0,Nott'm Forest,1,1,10,3,6,6,0,0,J Moss,D,D,21.0,19.0,9.0,13.0,1
