Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HFKC,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AFKC,AY,AR,FTR,HTR,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2017-10-28,Valenciennes,1,1,11,5,5,22,2,0,Nimes,2,1,14,7,9,19,4,0,A,D,17.0,22.0,13.0,6.0,0
2017-10-30,Chateauroux,0,0,8,2,4,11,0,0,Lens,0,0,10,5,7,13,2,0,D,D,16.0,9.0,14.0,18.0,1
2017-11-03,Valenciennes,0,0,9,4,5,14,2,1,Brest,0,0,14,3,4,15,3,0,D,D,17.0,21.0,13.0,8.0,1
2017-11-03,Tours,3,2,14,9,6,12,0,0,Bourg Peronnas,2,2,8,3,3,20,2,0,H,D,2.0,13.0,20.0,17.0,2
2017-11-03,Paris FC,1,1,9,3,3,17,1,0,Lorient,1,0,8,5,5,12,1,0,D,H,24.0,25.0,5.0,4.0,1
2017-11-03,Orleans,3,2,9,4,3,23,3,0,Sochaux,3,2,15,9,5,14,4,0,D,D,18.0,20.0,10.0,9.0,1
2017-11-03,Niort,1,0,10,9,5,23,3,0,Clermont,1,0,12,4,5,17,2,0,D,D,18.0,22.0,11.0,7.0,1
2017-11-03,Ajaccio,1,0,11,6,5,15,4,1,Chateauroux,2,1,13,6,2,13,1,0,A,A,27.0,17.0,2.0,14.0,0
2017-11-03,Nimes,4,2,19,10,6,16,1,0,Quevilly Rouen,1,0,11,6,2,17,1,0,H,H,25.0,5.0,4.0,19.0,2
2017-11-03,Auxerre,0,0,9,2,3,20,2,0,Ajaccio GFCO,1,1,9,4,3,14,3,0,A,A,18.0,16.0,14.0,15.0,0
2017-11-04,Nancy,1,1,9,6,2,21,3,0,Lens,1,0,8,3,3,14,2,0,D,H,14.0,10.0,16.0,18.0,1
2017-11-06,Le Havre,0,0,8,4,5,13,1,0,Reims,0,0,17,10,9,13,2,1,D,D,23.0,30.0,7.0,1.0,1
2017-11-17,Nancy,2,2,5,5,3,14,2,0,Ajaccio,2,0,5,2,4,20,3,0,D,H,15.0,27.0,16.0,3.0,1
2017-11-17,Sochaux,2,1,6,4,6,16,3,0,Nimes,1,1,7,6,3,21,1,0,H,D,21.0,28.0,9.0,2.0,2
2017-11-17,Reims,1,0,8,1,6,20,2,0,Paris FC,1,0,9,4,2,17,3,0,D,D,31.0,25.0,1.0,5.0,1
2017-11-17,Quevilly Rouen,1,1,15,8,7,15,2,0,Orleans,0,0,6,1,6,18,2,0,H,H,5.0,19.0,19.0,11.0,2
2017-11-17,Clermont,1,0,10,6,5,8,0,0,Auxerre,0,0,10,5,8,20,0,0,H,D,23.0,18.0,8.0,15.0,2
2017-11-17,Bourg Peronnas,1,1,4,3,1,25,2,0,Valenciennes,3,1,11,8,4,20,1,0,A,D,13.0,18.0,17.0,14.0,0
2017-11-17,Ajaccio GFCO,1,1,7,3,8,12,2,0,Le Havre,1,0,9,5,4,15,1,0,D,H,19.0,24.0,14.0,7.0,1
2017-11-17,Chateauroux,1,0,8,2,6,18,2,0,Tours,0,0,9,2,2,15,2,0,H,D,20.0,5.0,11.0,20.0,2
2017-11-18,Lorient,4,1,17,8,6,11,0,0,Brest,2,1,13,6,3,15,2,0,H,D,26.0,22.0,5.0,10.0,2
2017-11-20,Lens,3,1,14,11,4,27,2,0,Niort,1,0,9,3,3,19,2,0,H,H,11.0,19.0,18.0,14.0,2
2017-11-24,Valenciennes,4,2,10,7,3,15,2,0,Lorient,2,0,13,9,6,18,1,0,H,H,21.0,29.0,11.0,2.0,2
2017-11-24,Tours,1,0,19,9,7,18,2,0,Ajaccio GFCO,2,1,6,3,1,16,2,0,A,A,5.0,20.0,20.0,12.0,0
2017-11-24,Paris FC,2,2,9,5,5,12,2,0,Quevilly Rouen,0,0,9,3,5,20,2,1,H,H,26.0,8.0,6.0,19.0,2
2017-11-24,Orleans,1,0,11,8,4,12,1,0,Clermont,2,1,11,4,4,9,3,0,A,A,19.0,26.0,13.0,6.0,0
2017-11-24,Niort,2,2,13,6,9,21,3,0,Chateauroux,1,0,9,4,3,16,1,0,H,H,19.0,23.0,14.0,10.0,2
2017-11-24,Nimes,4,1,15,9,3,12,2,0,Bourg Peronnas,0,0,7,2,4,15,4,0,H,H,28.0,13.0,5.0,18.0,2
2017-11-24,Brest,1,1,13,8,3,11,2,1,Sochaux,0,0,17,10,13,17,2,0,H,H,22.0,24.0,13.0,9.0,2
2017-11-24,Auxerre,1,1,14,6,4,16,0,0,Nancy,1,0,8,5,4,13,0,0,D,H,18.0,16.0,15.0,16.0,1
2017-11-24,Ajaccio,0,0,6,2,4,17,4,0,Reims,1,0,6,3,2,22,1,0,A,D,28.0,32.0,6.0,1.0,0
2017-11-25,Le Havre,1,0,10,5,5,18,2,0,Lens,0,0,5,1,3,17,0,0,H,D,25.0,14.0,7.0,17.0,2
2017-11-27,Reims,2,1,7,2,5,14,1,0,Auxerre,0,0,8,4,4,11,2,0,H,H,35.0,19.0,1.0,15.0,2
2017-11-28,Sochaux,3,1,15,7,2,19,1,0,Valenciennes,1,1,6,3,4,16,0,0,H,D,24.0,24.0,10.0,9.0,2
2017-11-28,Nancy,0,0,12,3,7,17,1,0,Le Havre,3,2,9,6,1,18,2,0,A,A,17.0,28.0,16.0,7.0,0
2017-11-28,Lorient,1,0,9,3,3,20,2,0,Nimes,2,2,13,6,6,19,3,0,A,A,29.0,31.0,5.0,2.0,0
2017-11-28,Lens,2,2,12,8,5,14,2,0,Ajaccio,0,0,7,3,5,14,1,0,H,H,14.0,28.0,17.0,7.0,2
2017-11-28,Quevilly Rouen,4,1,13,11,2,25,4,0,Tours,0,0,6,4,4,20,3,0,H,H,8.0,5.0,19.0,20.0,2
2017-11-28,Chateauroux,0,0,10,5,3,19,2,0,Paris FC,0,0,5,2,4,11,1,0,D,D,23.0,29.0,11.0,6.0,1
2017-11-28,Bourg Peronnas,4,2,12,6,3,21,4,0,Orleans,0,0,7,3,7,21,3,1,H,H,13.0,19.0,18.0,14.0,2
2017-11-28,Ajaccio GFCO,0,0,12,2,8,21,4,0,Niort,2,1,7,6,3,19,3,0,A,A,23.0,22.0,12.0,13.0,0
2017-11-28,Clermont,1,1,15,8,13,17,4,0,Brest,2,0,11,6,3,15,3,0,A,H,29.0,25.0,5.0,10.0,0
2017-12-08,Auxerre,1,1,14,8,13,16,2,0,Chateauroux,2,0,11,6,4,10,2,0,A,H,19.0,24.0,15.0,12.0,0
2017-12-08,Brest,3,1,15,11,6,16,4,0,Bourg Peronnas,0,0,7,0,4,15,1,0,H,H,28.0,16.0,8.0,18.0,2
2017-12-08,Lorient,2,0,10,6,5,15,2,0,Sochaux,1,0,8,3,3,13,0,1,H,D,29.0,27.0,7.0,10.0,2
